Year,Site,Plot,Area sampled (m2),BD (cm),DBH (cm),Diam (cm),Basal area (cm2 tree-1),Basal area (cm2 m-2),Stem biomass (g dry wt),Branch biomass (g dry wt),Foliage biomass (g dry wt),Total biomass SUM COMP (g dry wt),Tot biomass CALC ALLOM (g dry wt) ,Stem Carbon (g C m-2),Branch Carbon (g C m-2),Foliage Carbon (g C m-2),Total Tree Carbon SUM COMP (g C m-2),Tot Tree Carbon CALC ALLOM (g C m-2) ,,,,,,,,,Notes
2012,HBR,1,40,1.16,,1.16,1.06,0.03,11.70,31.43,27.96,71.09,55.19,0.14,0.38,0.32,0.84,0.65,,,,,,,,,
2012,HBR,1,40,1.25,,1.25,1.23,0.03,14.16,36.85,31.16,82.18,65.34,0.17,0.44,0.36,0.97,0.77,,,,,,,,,
2012,HBR,1,40,1.4,,1.4,1.54,0.04,18.93,46.91,36.73,102.57,84.41,0.22,0.56,0.42,1.21,0.99,,,,,,,,,
2012,HBR,1,40,1.5,,1.5,1.77,0.04,22.59,54.34,40.60,117.52,98.66,0.27,0.65,0.47,1.38,1.16,,,,,,,,,
2012,HBR,1,40,,4.7,4.7,17.35,0.43,2099.60,1515.16,359.02,3973.77,4020.27,24.67,18.18,4.13,46.98,47.24,,,,,,,,,
2012,HBR,1,40,,4.82,4.82,18.25,0.46,2213.76,1593.11,372.01,4178.88,4229.24,26.01,19.12,4.28,49.41,49.69,,,,,,,,,
2012,HBR,1,40,,2.73,2.73,5.85,0.15,670.92,513.98,166.90,1351.80,1349.04,7.88,6.17,1.92,15.97,15.85,,,,,,,,,
2012,HBR,1,40,,6.3,6.3,31.17,0.78,3884.60,2714.38,542.66,7141.64,7244.57,45.64,32.57,6.24,84.46,85.12,,,,,,,,,
2012,HBR,1,40,,1.5,1.5,1.77,0.04,190.78,156.10,71.74,418.61,404.84,2.24,1.87,0.82,4.94,4.76,,,,,,,,,
2012,HBR,1,40,,5.8,5.8,26.42,0.66,3265.35,2302.53,482.93,6050.82,6135.19,38.37,27.63,5.55,71.55,72.09,,,,,,,,,
2012,HBR,1,40,,2.6,2.6,5.31,0.13,605.59,466.42,155.80,1227.81,1223.02,7.12,5.60,1.79,14.50,14.37,,,,,,,,,
