Site,Date,Transect,Meter,TD,Tree
LDF2,7/2/2016,1,0,75,
LDF2,7/2/2016,1,5,56,
LDF2,7/2/2016,1,10,50,
LDF2,7/2/2016,1,15,47,
LDF2,7/2/2016,1,20,45,
LDF2,7/2/2016,1,25,42,
LDF2,7/2/2016,1,30,54,
LDF2,7/2/2016,2,0,73,
LDF2,7/2/2016,2,5,62,
LDF2,7/2/2016,2,10,54,
LDF2,7/2/2016,2,15,61,
LDF2,7/2/2016,2,20,65,
LDF2,7/2/2016,2,25,56,
LDF2,7/2/2016,2,30,35,
LDF2,7/2/2016,3,0,60,
LDF2,7/2/2016,3,5,32,
LDF2,7/2/2016,3,10,39,
LDF2,7/2/2016,3,15,39,
LDF2,7/2/2016,3,20,48,
LDF2,7/2/2016,3,25,37,
LDF2,7/2/2016,3,30,49,
DAV,7/6/2016,1,0,27,
DAV,7/6/2016,1,5,28,
DAV,7/6/2016,1,10,33,
DAV,7/6/2016,1,15,11,
DAV,7/6/2016,1,20,16,
DAV,7/6/2016,1,25,13,
DAV,7/6/2016,1,30,10,
DAV,7/6/2016,2,0,10,
DAV,7/6/2016,2,5,20,
DAV,7/6/2016,2,10,30,
DAV,7/6/2016,2,15,15,
DAV,7/6/2016,2,20,20,
DAV,7/6/2016,2,25,18,
DAV,7/6/2016,2,30,16,
DAV,7/6/2016,3,0,41,
DAV,7/6/2016,3,5,27,
DAV,7/6/2016,3,10,28,
DAV,7/6/2016,3,15,16,
DAV,7/6/2016,3,20,14,
DAV,7/6/2016,3,25,14,
DAV,7/6/2016,3,30,21,
DAV,7/15/2016,,,19,10
DAV,7/15/2016,,,30,8
DAV,7/15/2016,,,14,9
DAV,7/15/2016,,,13,13
DAV,7/15/2016,,,24,6
DAV,7/15/2016,,,17,1
DAV,7/15/2016,,,15,2
DAV,7/15/2016,,,39,3
DAV,7/15/2016,,,11,4
DAV,7/15/2016,,,23,5
DAV,7/15/2016,,,28,7
DAV,7/15/2016,,,42,11
DAV,7/15/2016,,,22,12
LDF2,7/22/2016,,,50,6
LDF2,7/22/2016,,,40,7
LDF2,7/22/2016,,,43,11
LDF2,7/22/2016,,,67,10
LDF2,7/22/2016,,,47,3
LDF2,7/22/2016,,,53,2
LDF2,7/22/2016,,,64,1
LDF2,7/22/2016,,,50,8
LDF2,7/22/2016,,,49,9
LDF2,7/22/2016,,,51,4
DAV,8/9/2016,,,37,1
DAV,8/9/2016,,,31,2
DAV,8/9/2016,,,65,3
DAV,8/9/2016,,,55,4
DAV,8/9/2016,,,47,5
DAV,8/9/2016,,,47,6
DAV,8/9/2016,,,70,7
DAV,8/9/2016,,,55,8
DAV,8/9/2016,,,46,9
DAV,8/9/2016,,,50,10
DAV,8/9/2016,,,70,11
DAV,8/9/2016,,,43,12
DAV,8/9/2016,,,45,13
LDF2,8/9/2016,,,83,1
LDF2,8/9/2016,,,85,2
LDF2,8/9/2016,,,67,3
LDF2,8/9/2016,,,66,4
LDF2,8/9/2016,,,67,5
LDF2,8/9/2016,,,71,6
LDF2,8/9/2016,,,58,7
LDF2,8/9/2016,,,80,8
LDF2,8/9/2016,,,72,9
LDF2,8/9/2016,,,75,10
LDF2,8/9/2016,,,58,11
LDF2,8/9/2016,,,65,12
LDF2,8/9/2016,,,51,13
LDF2,8/30/2016,,,87,1
LDF2,8/30/2016,,,88,2
LDF2,8/30/2016,,,97,3
LDF2,8/30/2016,,,80,4
LDF2,8/30/2016,,,74,5
LDF2,8/30/2016,,,62,6
LDF2,8/30/2016,,,61,7
LDF2,8/30/2016,,,78,8
LDF2,8/30/2016,,,72,9
LDF2,8/30/2016,,,69,10
LDF2,8/30/2016,,,65,11
LDF2,8/30/2016,,,76,12
LDF2,8/30/2016,,,60,13
DAVY,8/30/2016,,,41,1
DAVY,8/30/2016,,,43,2
DAVY,8/30/2016,,,61,3
DAVY,8/30/2016,,,47,4
DAVY,8/30/2016,,,58,5
DAVY,8/30/2016,,,48,6
DAVY,8/30/2016,,,58,7
DAVY,8/30/2016,,,59,8
DAVY,8/30/2016,,,50,9
DAVY,8/30/2016,,,50,10
DAVY,8/30/2016,,,83,11
DAVY,8/30/2016,,,38,12
DAVY,8/30/2016,,,51,13
